,bd,hour,time,end_use,category,energy
243,False,3,02:30:00,lighting_exterior,Lighting,0.15301419510763659
244,False,3,02:30:00,lighting_garage,Lighting,0.03150311458720172
245,False,3,02:30:00,lighting_interior,Lighting,0.5088969196332622
246,False,3,02:30:00,mech_vent,HVAC,0.03851607064019133
247,False,3,02:30:00,plug_loads,Plugs,4.775457527545384
248,False,3,02:30:00,pool_heater,Pool,0.0027855034081872864
249,False,3,02:30:00,pool_pump,Pool,0.054390867261764946
250,False,3,02:30:00,range_oven,Kitchen,0.04804556395051772
251,False,3,02:30:00,refrigerator,Kitchen,1.3137983549788972
252,False,3,02:30:00,well_pump,Kitchen,0.03990145744420692
253,False,3,02:45:00,ceiling_fan,HVAC,0.052362475581601495
254,False,3,02:45:00,clothes_dryer,Laundry,0.051797293149611685
255,False,3,02:45:00,clothes_washer,Laundry,0.003379703546484589
256,False,3,02:45:00,cooling,HVAC,1.1880408694707953
257,False,3,02:45:00,cooling_fans_pumps,HVAC,0.1732149376377228
258,False,3,02:45:00,dishwasher,Kitchen,0.007587418259077731
259,False,3,02:45:00,freezer,Kitchen,0.19920630830451155
260,False,3,02:45:00,heating,HVAC,1.9901793380024837
261,False,3,02:45:00,heating_fans_pumps,HVAC,1.2813978518668536
262,False,3,02:45:00,heating_hp_bkup,HVAC,0.10384710417323288
263,False,3,02:45:00,hot_tub_heater,Hot Tub,0.09725635329205114
264,False,3,02:45:00,hot_tub_pump,Hot Tub,0.09622620016846695
265,False,3,02:45:00,hot_water,HVAC,0.40227594859396626
266,False,3,02:45:00,lighting_exterior,Lighting,0.15301419510763659
267,False,3,02:45:00,lighting_garage,Lighting,0.03150311458720172
268,False,3,02:45:00,lighting_interior,Lighting,0.5088969196332622
269,False,3,02:45:00,mech_vent,HVAC,0.03851607064019133
270,False,3,02:45:00,plug_loads,Plugs,4.773820604854035
271,False,3,02:45:00,pool_heater,Pool,0.0027855034081872864
272,False,3,02:45:00,pool_pump,Pool,0.054390867261764946
273,False,3,02:45:00,range_oven,Kitchen,0.057149611533001944
274,False,3,02:45:00,refrigerator,Kitchen,1.3137983549788972
275,False,3,02:45:00,well_pump,Kitchen,0.03990145744420692
276,False,4,03:00:00,ceiling_fan,HVAC,0.05231990645915035
277,False,4,03:00:00,clothes_dryer,Laundry,0.05259496092739866
278,False,4,03:00:00,clothes_washer,Laundry,0.004085359172629757
279,False,4,03:00:00,cooling,HVAC,1.1530103114415435
280,False,4,03:00:00,cooling_fans_pumps,HVAC,0.1666501603041496
281,False,4,03:00:00,dishwasher,Kitchen,0.007607205290620767
282,False,4,03:00:00,freezer,Kitchen,0.19920630830451155
283,False,4,03:00:00,heating,HVAC,2.0022674466992596
284,False,4,03:00:00,heating_fans_pumps,HVAC,1.288185736573458
285,False,4,03:00:00,heating_hp_bkup,HVAC,0.10551947658362326
286,False,4,03:00:00,hot_tub_heater,Hot Tub,0.09725635329205114
287,False,4,03:00:00,hot_tub_pump,Hot Tub,0.09622620016846695
288,False,4,03:00:00,hot_water,HVAC,0.3992688598920973
